bucket,pdf
0,0.6459176830025585
1,0.05751922965465279
2,0.027695670533296902
3,0.018173990080892884
4,0.012874967916076736
5,0.00965415600652442
6,0.008445316575175736
7,0.006805931592935741
8,0.005754406882105037
9,0.005100308833635543
10,0.004495889117961201
11,0.0040819030113349395
12,0.003643077738311102
13,0.0035520007948533247
14,0.003055217466901811
15,0.003320168575142618
16,0.0032953294087450426
17,0.002765427192263428
18,0.0025584341389502966
19,0.0027902663586610033
20,0.002384559974167267
21,0.0026163921938779735
22,0.002202406087251712
23,0.002202406087251712
24,0.0019788535896735305
25,0.0022272452536492874
26,0.0019043360904808034
27,0.001780140258492925
28,0.0019540144232759547
29,0.0018049794248905008
30,0.001854657757685652
31,0.0016311052601074708
32,0.0016228255379749455
33,0.0015897066494448447
34,0.001349594707601613
35,0.0015483080387822185
36,0.0014903499838545419
37,0.0014075527625292896
38,0.0015897066494448447
39,0.001564867483047269
40,0.001175720542818583
41,0.001101203043625856
42,0.001217119153481209
43,0.0011177624878909063
44,0.0010598044329632298
45,0.0010018463780355532
46,0.0011177624878909063
47,0.0011674408206860578
48,0.0010929233214933306
49,8.859302681801999E-4
50,0.0010184058223006037
51,0.001034965266565654
52,0.0010846435993608055
53,9.687274895054522E-4
54,0.0010101261001680783
55,8.279722132525232E-4
56,7.368952697947457E-4
57,7.617344361923214E-4
58,9.604477673729269E-4
59,7.368952697947457E-4
60,7.617344361923214E-4
61,7.948533247224223E-4
62,8.362519353850485E-4
63,7.534547140597962E-4
64,7.037763812646448E-4
65,6.706574927345439E-4
66,6.375386042044429E-4
67,7.617344361923214E-4
68,7.865736025898971E-4
69,6.954966591321195E-4
70,7.451749919272709E-4
71,5.878602714092915E-4
72,7.037763812646448E-4
73,5.381819386141401E-4
74,6.78937214867069E-4
75,6.706574927345439E-4
76,6.126994378068672E-4
77,6.954966591321195E-4
78,6.540980484694934E-4
79,6.209791599393925E-4
80,5.216224943490897E-4
81,6.209791599393925E-4
82,6.375386042044429E-4
83,6.540980484694934E-4
84,4.967833279515139E-4
85,5.547413828791906E-4
86,5.878602714092915E-4
87,5.713008271442411E-4
88,4.139861066262616E-4
89,4.0570638449373636E-4
90,5.381819386141401E-4
91,4.7194416155393827E-4
92,4.4710499515636257E-4
93,4.3054555089131207E-4
94,3.394686074335345E-4
95,4.4710499515636257E-4
96,3.643077738311102E-4
97,4.4710499515636257E-4
98,3.808672180961607E-4
99,3.2290916316848406E-4
100,6.540980484694934E-4
101,5.050630500840392E-4
102,4.0570638449373636E-4
103,4.388252730238373E-4
104,4.139861066262616E-4
105,4.0570638449373636E-4
106,3.9742666236121117E-4
107,4.0570638449373636E-4
108,4.3054555089131207E-4
109,4.0570638449373636E-4
110,4.7194416155393827E-4
111,3.311888853010093E-4
112,3.4774832956605976E-4
113,3.891469402286859E-4
114,3.394686074335345E-4
115,3.808672180961607E-4
116,3.2290916316848406E-4
117,2.9806999677090836E-4
118,3.311888853010093E-4
119,3.56028051698585E-4
120,3.4774832956605976E-4
121,3.56028051698585E-4
122,3.56028051698585E-4
123,2.566713861082822E-4
124,2.815105525058579E-4
125,4.0570638449373636E-4
126,3.4774832956605976E-4
127,3.146294410359588E-4
128,4.0570638449373636E-4
129,2.815105525058579E-4
130,3.643077738311102E-4
131,3.56028051698585E-4
